no,district,dong,code,population
1,종로구,청운효자동,1111051500,10923
2,종로구,사직동,1111053000,8909
3,종로구,삼청동,1111054000,2125
4,종로구,부암동,1111055000,8937
5,종로구,평창동,1111056000,17087
6,종로구,무악동,1111057000,7700
7,종로구,교남동,1111058000,9455
8,종로구,가회동,1111060000,3635
9,종로구,종로1.2.3.4가동,1111061500,6613
10,종로구,종로5.6가동,1111063000,5393
11,종로구,이화동,1111064000,7057
12,종로구,혜화동,1111065000,15741
13,종로구,창신제1동,1111067000,4434
14,종로구,창신제2동,1111068000,7163
15,종로구,창신제3동,1111069000,6145
16,종로구,숭인제1동,1111070000,5712
17,종로구,숭인제2동,1111071000,10217
18,중구,소공동,1114052000,2186
19,중구,회현동,1114054000,4120
20,중구,명동,1114055000,2470
21,중구,필동,1114057000,4318
22,중구,장충동,1114058000,4568
23,중구,광희동,1114059000,5695
24,중구,을지로동,1114060500,2995
25,중구,신당동,1114061500,7428
26,중구,다산동,1114062500,13039
27,중구,약수동,1114063500,15782
28,중구,청구동,1114064500,10778
29,중구,신당제5동,1114065000,9948
30,중구,동화동,1114066500,9761
31,중구,황학동,1114067000,13118
32,중구,중림동,1114068000,11902
33,용산구,후암동,1117051000,15653
34,용산구,용산2가동,1117052000,8511
35,용산구,남영동,1117053000,6986
36,용산구,청파동,1117055500,18640
37,용산구,원효로제1동,1117056000,17055
38,용산구,원효로제2동,1117057000,13406
39,용산구,효창동,1117058000,10392
40,용산구,용문동,1117059000,11040
41,용산구,한강로동,1117062500,20937
42,용산구,이촌제1동,1117063000,24927
43,용산구,이촌제2동,1117064000,7722
44,용산구,이태원제1동,1117065000,5945
45,용산구,이태원제2동,1117066000,8349
46,용산구,한남동,1117068500,13770
47,용산구,서빙고동,1117069000,12053
48,용산구,보광동,1117070000,6759
49,성동구,왕십리제2동,1120052000,15762
50,성동구,왕십리도선동,1120053500,25606
51,성동구,마장동,1120054000,21504
52,성동구,사근동,1120055000,11990
53,성동구,행당제1동,1120056000,15385
54,성동구,행당제2동,1120057000,22391
55,성동구,응봉동,1120058000,14432
56,성동구,금호1가동,1120059000,14302
57,성동구,금호2.3가동,1120061500,20612
58,성동구,금호4가동,1120062000,13885
59,성동구,옥수동,1120064500,25083
60,성동구,성수1가제1동,1120065000,14965
61,성동구,성수1가제2동,1120066000,13232
62,성동구,성수2가제1동,1120067000,13700
63,성동구,성수2가제3동,1120069000,9529
64,성동구,송정동,1120072000,9163
65,성동구,용답동,1120079000,13009
66,광진구,화양동,1121571000,22820
67,광진구,군자동,1121573000,18466
68,광진구,중곡제1동,1121574000,14886
69,광진구,중곡제2동,1121575000,19754
70,광진구,중곡제3동,1121576000,15193
71,광진구,중곡제4동,1121577000,26745
72,광진구,능동,1121578000,10832
73,광진구,광장동,1121581000,33035
74,광진구,자양제1동,1121582000,21538
75,광진구,자양제2동,1121583000,26470
76,광진구,자양제3동,1121584000,26673
77,광진구,자양제4동,1121584700,19827
78,광진구,구의제1동,1121585000,22865
79,광진구,구의제2동,1121586000,24871
80,광진구,구의제3동,1121587000,27500
81,동대문구,신설동,1123051500,16378
82,동대문구,용두동,1123053300,22574
83,동대문구,제기동,1123054500,22502
